Rank,Company,Ticker,Executive,Title,Title Category,2010 base salary,Bonus,Non-equity incentive,Total cash compensation,Stock options GDFV,Stock awards GDFV,Total equity compensation,All other compensation,Change in pension NQDC,Total compensation,Footnotes
152,A. H. Belo Corporation,AHC,Robert W. Decherd,"Chairman, president and chief executive",CEO,"$480,000","$408,000",,"$888,000",,"$949,998","$949,998","$29,872","$173,327","$2,041,197",
316,A. H. Belo Corporation,AHC,Alison K. Engel,Senior vice president/chief financial officer and treasurer,CFO,"$300,000","$150,000",,"$450,000",,"$350,001","$350,001",,,"$800,001",
209,A. H. Belo Corporation,AHC,James M. Moroney III,"Executive vice president; publisher and chief executive, The Dallas Morning News",Division President/CEO,"$467,500","$327,250",,"$794,750",,"$499,997","$499,997","$24,206","$111,333","$1,430,286",
222,A. H. Belo Corporation,AHC,John C. McKeon,"President and general manager, The Dallas Morning News",Division President/CEO,"$400,000","$584,960",,"$984,960",,"$299,998","$299,998","$51,499",,"$1,336,458",
376,A. H. Belo Corporation,AHC,Daniel J. Blizzard,Senior vice president and secretary,Other,"$250,000","$100,000",,"$350,000",,"$225,000","$225,000",,,"$575,000",
380,Affirmative Insurance Holdings Inc.,AFFM,Gary Y. Kusumi,Chief executive,CEO,"$362,098",,,"$362,098",,,$-,"$196,073",,"$558,171",
453,Affirmative Insurance Holdings Inc.,AFFM,Michael J. McClure,Executive vice president and chief financial officer,CFO,"$300,000",,,"$300,000",,,$-,"$12,000",,"$312,000",
440,Affirmative Insurance Holdings Inc.,AFFM,Robert A. Bondi,"Executive vice president and president, retail agency group",Division President/CEO,"$350,000",,,"$350,000",,,$-,,,"$350,000",
243,Affirmative Insurance Holdings Inc.,AFFM,Kevin R. Callahan,"Former chief executive, president and chairman",Former executive,"$600,769",,,"$600,769",,,$-,"$552,638",,"$1,153,407",
33,Alliance Data Systems Corp.,ADS,Edward J. Heffernan,President and chief executive,CEO,"$810,000","$127,983","$2,274,791","$3,212,774",,"$2,638,044","$2,638,044","$27,673","$42,018","$5,920,509",
143,Alliance Data Systems Corp.,ADS,Charles L. Horn,Executive vice president and chief financial officer,CFO,"$450,000","$52,668","$658,350","$1,161,018",,"$949,833","$949,833","$19,497",$249,"$2,130,597",
46,Alliance Data Systems Corp.,ADS,Ivan M. Szeftel,"Executive vice president and president, Retail Credit Services",Division President/CEO,"$505,000","$53,449","$1,578,320","$2,136,769",,"$2,134,553","$2,134,553","$66,290","$38,615","$4,376,227",
90,Alliance Data Systems Corp.,ADS,Bryan J. Pearson,"Executive vice president and president, LoyaltyOne",Division President/CEO,"$479,189","$25,991","$649,781","$1,154,961",,"$1,688,211","$1,688,211","$131,799","$6,506","$2,981,477",
115,Alliance Data Systems Corp.,ADS,Bryan J. Kennedy,"Executive vice president and president, Epsilon",Division President/CEO,"$415,000","$68,823","$573,530","$1,057,353",,"$1,529,906","$1,529,906","$18,055","$1,508","$2,606,822",
249,Alon USA Energy Inc.,ALJ,Jeff D. Morris,Chief executive,CEO,"$333,100",,,"$333,100",,,$-,"$370,383","$412,501","$1,115,984",
393,Alon USA Energy Inc.,ALJ,Shai  Even,Senior vice president and chief financial officer,CFO,"$281,100","$175,000",,"$456,100","$14,541",,"$14,541",$650,"$40,210","$511,501",
404,Alon USA Energy Inc.,ALJ,Joseph  Israel,Chief operating officer,COO,"$270,300","$150,000",,"$420,300","$14,541",,"$14,541","$1,241","$38,261","$474,343",
401,Alon USA Energy Inc.,ALJ,Alan  Moret,Senior vice president of supply,Other,"$330,337","$100,000",,"$430,337","$14,541",,"$14,541","$39,170",,"$484,048",
412,Alon USA Energy Inc.,ALJ,Michael  Oster,Senior vice president of mergers and acquisitions,Other,"$235,962","$167,000",,"$402,962","$7,270",,"$7,270","$1,820","$27,765","$439,817",
443,American Caresource Holdings Inc.,ANCI,David Boon,President and chief executive,CEO,"$312,000",,,"$312,000","$8,891",,"$8,891","$20,555",,"$341,446",
473,American Caresource Holdings Inc.,ANCI,Matthew Thompson,Chief financial officer,CFO,"$152,436",,,"$152,436","$108,376",,"$108,376","$7,955",,"$268,767","Became the CFO in June 2010 and his salary was raised to $165,000."
451,American Caresource Holdings Inc.,ANCI,M. Cornelia Outten,Vice president of provider development,Other,"$194,038",,,"$194,038","$115,150",,"$115,150","$8,291",,"$317,479",
454,American Caresource Holdings Inc.,ANCI,Rost Ginevich,Chief information officer,Other,"$183,558",,,"$183,558","$115,150",,"$115,150","$7,925",,"$306,633",
32,AMR Corp.,AMR,Gerard J. Arpey,Chairman and chief executive,CEO,"$669,646",,$467,"$670,113","$1,185,940","$3,280,680","$4,466,620","$94,660","$721,282","$5,952,675",
155,AMR Corp.,AMR,Isabella D. Goren,Senior vice president and chief financial officer,CFO,"$423,993",,$467,"$424,460","$329,848","$912,643","$1,242,491","$28,571","$316,129","$2,011,650",
105,AMR Corp.,AMR,Robert W. Reding,Executive vice president ? operations,COO,"$530,479",,$467,"$530,946","$458,222","$1,266,357","$1,724,579","$33,383","$465,173","$2,754,081",
92,AMR Corp.,AMR,Daniel P. Garton,President and chief executive ? AMR Eagle,Division President/CEO,"$530,478",,$250,"$530,728","$458,222","$1,353,982","$1,812,204","$29,208","$535,950","$2,908,090",
142,AMR Corp.,AMR,Gary F. Kennedy,Senior vice president and general counsel,General Counsel,"$502,543",,$467,"$503,010","$329,848","$912,643","$1,242,491","$30,568","$403,457","$2,179,526",
66,AMR Corp.,AMR,Thomas W. Horton,President,Non-CEO Chairman or Preisdent,"$618,135",,$467,"$618,602","$661,628","$1,831,548","$2,493,176","$30,305","$553,539","$3,695,621",
255,Animal Health International Inc.,AHII,James C. Robison,"Chairman, president and chief executive",CEO,"$350,000",,,"$350,000",,"$688,000","$688,000","$39,667",,"$1,077,667",
330,Animal Health International Inc.,AHII,William F. Lacey,Senior vice president and chief financial officer,CFO,"$225,000","$84,000",,"$309,000",,"$392,375","$392,375","$27,044",,"$728,419",
450,Animal Health International Inc.,AHII,Damian  Olthoff,General counsel and secretary,General Counsel,"$140,000","$27,500",,"$167,500",,"$147,275","$147,275","$3,899",,"$318,674",
223,Approach Resources Inc.,AREX,J. Ross Craft,"Director, president and chief executive",CEO,"$312,500",,"$187,500","$500,000",,"$810,000","$810,000","$19,163",,"$1,329,163",
291,Approach Resources Inc.,AREX,Steven P. Smart,Executive vice president and chief financial officer,CFO,"$263,500",,"$105,400","$368,900",,"$540,000","$540,000","$9,800",,"$918,700",
294,Approach Resources Inc.,AREX,J. Curtis Henderson,"Executive vice president, general counsel and secretary",General Counsel,"$257,500",,"$103,000","$360,500",,"$540,000","$540,000","$9,800",,"$910,300",
279,Approach Resources Inc.,AREX,Qingming  Yang,Executive vice president ? business development and geosciences,Other,"$220,000",,"$66,000","$286,000",,"$665,050","$665,050","$9,800",,"$960,850",
348,Approach Resources Inc.,AREX,Ralph P. Manoushagian,Executive vice president ? land,Other,"$187,000",,"$56,100","$243,100",,"$405,000","$405,000",,,"$648,100",
395,Archipelago Learning Inc.,ARCL,Tim  McEwen,President and chief executive,CEO,"$328,000","$164,000",,"$492,000",,,$-,"$18,769",,"$510,769",
416,Archipelago Learning Inc.,ARCL,James  Walburg,"Secretary, executive vice president and chief financial officer",CFO,"$275,000","$137,500",,"$412,500",,,$-,"$17,211",,"$429,711",
417,Archipelago Learning Inc.,ARCL,Martijn  Tel,Senior vice president and chief operating officer,COO,"$300,000","$120,000",,"$420,000",,,$-,"$9,000",,"$429,000",
319,Archipelago Learning Inc.,ARCL,Ray  Lowrey,Executive vice president and chief technology officer,Other,"$326,400","$163,200",,"$489,600","$259,653",,"$259,653","$31,532",,"$780,785",
429,Archipelago Learning Inc.,ARCL,Julie  Huston,"Executive vice president, global sales",Sales/Marketing executive,"$200,000","$200,000",,"$400,000",,,$-,"$11,543",,"$411,543",
65,Ashford Hospitality Trust Inc.,AHT,Montgomery J. Bennett,Chief executive,CEO,"$700,000","$1,400,000",,"$2,100,000",,"$1,646,400","$1,646,400",,,"$3,746,400",
180,Ashford Hospitality Trust Inc.,AHT,David J. Kimichik,Chief financial officer and treasurer,CFO,"$375,000","$337,500",,"$712,500",,"$1,029,000","$1,029,000",,,"$1,741,500",
128,Ashford Hospitality Trust Inc.,AHT,David A. Brooks,"Chief operating officer, general counsel and secretary",COO,"$425,000","$531,250",,"$956,250",,"$1,372,000","$1,372,000",,,"$2,328,250",
173,Ashford Hospitality Trust Inc.,AHT,Archie  Bennett Jr.,Chairman,Non-CEO Chairman or Preisdent,"$361,154","$400,000",,"$761,154",,"$994,700","$994,700","$43,384",,"$1,799,238",
96,Ashford Hospitality Trust Inc.,AHT,Douglas A. Kessler,President,Non-CEO Chairman or Preisdent,"$550,000","$825,000",,"$1,375,000",,"$1,474,900","$1,474,900",,,"$2,849,900",
158,Ashford Hospitality Trust Inc.,AHT,Alan L. Tallis,"Executive vice president, asset management",Other,"$375,000","$337,500",,"$712,500",,"$1,278,350","$1,278,350",,,"$1,990,850",
2,AT&T Inc.,T,Randall L. Stephenson,"Chairman, CEO and president",CEO,"$1,533,333",,"$5,050,000","$6,583,333","$494,731","$12,749,977","$13,244,708","$417,410","$7,096,177","$27,341,628",
18,AT&T Inc.,T,Richard G. Lindner,Senior executive vice president and chief financial officer,CFO,"$829,167",,"$1,750,000","$2,579,167","$5,420","$4,250,009","$4,255,429","$180,444","$1,684,959","$8,699,999",
10,AT&T Inc.,T,Rafael  de la Vega,"President and CEO, AT&T Mobility & Consumer Markets",Division President/CEO,"$820,833",,"$1,700,000","$2,520,833","$36,513","$4,000,024","$4,036,537","$96,850","$4,240,450","$10,894,670",
