geoid10,county,namelsad10,city,ngo_section,population,commute,pet,garden_pct,home_value_2012,x,y
48113014312,Dallas County,Census Tract 143.12,Irving,Irving/Coppell,5378,19.3,43.5,27.04,"$515,625",-96.960185520889,32.8698684982732
48113018121,Dallas County,Census Tract 181.21,Garland,Garland/Mesquite,5402,31,58.7000007629395,33.97,"$118,738",-96.6030844898176,32.9185035856735
48113013625,Dallas County,Census Tract 136.25,Dallas,Richardson/Far North Dallas/Lake Highlands,2608,21.6,31.9799995422363,16.87,$0,-96.820372765135,32.9432154676104
48113013615,Dallas County,Census Tract 136.15,Dallas,Richardson/Far North Dallas/Lake Highlands,5272,25.5,32.0299987792969,15.64,"$115,116",-96.8082826817647,32.9328199325926
48113013623,Dallas County,Census Tract 136.23,Dallas,Richardson/Far North Dallas/Lake Highlands,6466,20,32.689998626709,18.38,"$101,500",-96.8081095539002,32.9423525820414
48113013624,Dallas County,Census Tract 136.24,Dallas,Richardson/Far North Dallas/Lake Highlands,3483,21.6,31.9899997711182,16.87,"$111,731",-96.8188067560389,32.947083965387
48113013726,Dallas County,Census Tract 137.26,Addison,Carrollton/Farmers Branch/Addison,2868,21.4,43.5299987792969,27.03,"$288,731",-96.8489887464275,32.945348160401
48113013727,Dallas County,Census Tract 137.27,Addison,Carrollton/Farmers Branch/Addison,3259,21.4,40.4300003051758,30.46,"$225,514",-96.83830888193,32.9668646231476
48085030203,Collin County,Census Tract 302.03,Anna,Allen/Frisco/McKinney,14577,33.1,61.6599998474121,35.56,"$147,172",-96.5454390343408,33.3417523780869
48113019013,Dallas County,Census Tract 190.13,Garland,Garland/Mesquite,5391,28.3,24.1200008392334,12.5,$0,-96.674277147753,32.9128586361275
48121020303,Denton County,Census Tract 203.03,Argyle,,10806,28.3,59.6599998474121,43.06,"$278,114",-97.1770392524471,33.1010972015852
48113007201,Dallas County,Census Tract 72.01,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,8277,24.3,24.1000003814697,12.5,"$88,810",-96.8740141215617,32.8592617261875
48113009802,Dallas County,Census Tract 98.02,Dallas,Park Cities/North Dallas/Uptown/Oak Lawn,6727,,36.7999992370605,21.53,"$106,465",-96.860161734298,32.8717284062586
48113017301,Dallas County,Census Tract 173.01,Balch Springs,Garland/Mesquite,6533,31.5,57.7099990844727,33.82,"$91,491",-96.5954696789028,32.7116543535481
48113017201,Dallas County,Census Tract 172.01,Balch Springs,Garland/Mesquite,5340,27.4,41.7200012207031,22.23,"$78,815",-96.6247277812341,32.7250045362108
48113017202,Dallas County,Census Tract 172.02,Balch Springs,Garland/Mesquite,8563,25.7,48.939998626709,29.42,"$92,828",-96.6104836886318,32.7225953232399
48121021636,Denton County,Census Tract 216.36,Dallas,Plano/Murphy/Wylie,6745,21.8,34.7999992370605,20.69,"$328,873",-96.8494487712317,32.9924273305514
48113013611,Dallas County,Census Tract 136.11,Dallas,Richardson/Far North Dallas/Lake Highlands,2599,,44.1599998474121,40.43,"$620,946",-96.815395944673,32.9787712470347
48085031713,Collin County,Census Tract 317.13,Dallas,Plano/Murphy/Wylie,4170,23.8,33.8499984741211,19.4,"$395,652",-96.8245577188969,33.0023401087894
48085031704,Collin County,Census Tract 317.04,Dallas,Plano/Murphy/Wylie,3852,23.2,44.1800003051758,30.69,"$304,153",-96.8365212896019,32.9924767593165
48085031715,Collin County,Census Tract 317.15,Dallas,Plano/Murphy/Wylie,2646,25.5,51.2299995422363,35.62,"$305,825",-96.807956818281,33.00765024243
48085031716,Collin County,Census Tract 317.16,Dallas,Plano/Murphy/Wylie,2129,25.5,47.0299987792969,30.21,"$270,902",-96.8032380396041,33.0020583439403
48085031711,Collin County,Census Tract 317.11,Rowlett,Plano/Murphy/Wylie,3124,23.5,43.5099983215332,27.05,"$240,000",-96.8366422295932,33.0018212983985
48121021634,Denton County,Census Tract 216.34,Dallas,Plano/Murphy/Wylie,5017,21.8,32.0099983215332,16.88,$0,-96.853091222716,33.0066541707362
48121021638,Denton County,Census Tract 216.38,Dallas,Plano/Murphy/Wylie,4237,24.2,38.7599983215332,23.05,"$166,692",-96.8697721049748,32.9946562344561
48085031706,Collin County,Census Tract 317.06,Dallas,Plano/Murphy/Wylie,2314,,55.3300018310547,48.98,"$573,468",-96.8213849674386,32.9932395161619
48085031712,Collin County,Census Tract 317.12,Dallas,Plano/Murphy/Wylie,5241,23.5,37.8199996948242,23.93,"$203,615",-96.8366141637501,33.0107811308491
48085030100,Collin County,Census Tract 301,Blue Ridge,Allen/Frisco/McKinney,6357,37.5,67.2200012207031,35.2,"$132,454",-96.3981950165375,33.2958916197164
48439114203,Tarrant County,Census Tract 1142.03,Briar,,5538,39.1,64.370002746582,35.57,"$107,196",-97.5233088147211,32.9475312492846
48121021631,Denton County,Census Tract 216.31,Carrollton,Carrollton/Farmers Branch/Addison,5675,26.3,61.3699989318848,41.43,"$233,962",-96.8953031445065,33.0175742849519
48121021629,Denton County,Census Tract 216.29,Denton County,Lewisville/Flower Mound/Highland Village,5634,24.3,53.7299995422363,37.41,"$439,532",-96.8959095464536,33.0340092464553
48121021625,Denton County,Census Tract 216.25,Denton County,Carrollton/Farmers Branch/Addison,4247,24.3,51.3300018310547,35.18,"$376,128",-96.8823146157217,33.0523058732041
48113016522,Dallas County,Census Tract 165.22,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,3118,26.9,60.3899993896484,38.11,"$138,636",-96.983176327516,32.6026967010187
48113016625,Dallas County,Census Tract 166.25,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,8906,30.3,60.9700012207031,34.17,"$155,228",-96.9203562245542,32.6015065820838
48113016615,Dallas County,Census Tract 166.15,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,3701,29.6,60.7999992370605,34.28,"$117,170",-96.9334072575016,32.5753391743693
48113016616,Dallas County,Census Tract 166.16,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,5754,31.9,60.8899993896484,34.22,"$128,300",-96.949320572029,32.5597982298211
48113016523,Dallas County,Census Tract 165.23,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,4829,26.9,62.939998626709,39.12,"$286,486",-96.9976281010478,32.5686481275266
48113016514,Dallas County,Census Tract 165.14,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,7421,27.9,61.0200004577637,34.15,"$145,879",-96.9477506818153,32.6155655436338
48113016624,Dallas County,Census Tract 166.24,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,3497,30.3,61.0999984741211,34.09,"$131,873",-96.9168141943623,32.5688344702752
48113016626,Dallas County,Census Tract 166.26,Cedar Hill,Best Southwest/Oak Cliff/Grand Prairie,4729,30.3,49.1699981689453,27.46,"$102,645",-96.942063885321,32.5841296337903
